team_name,team_region,world_ranking,valve_ranking,avg_player_age,current_winstreak,winrate,map_winrates,coach_url,player_urls
BESTIA,Argentina,#36,#41,22.8,0,60.0,"{'Ancient': '43.8', 'Anubis': None, 'Dust2': '58.3', 'Inferno': '44.4', 'Mirage': '58.8', 'Nuke': '100.0', 'Overpass': '66.7', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/23467/sharpy,"['https://www.hltv.org/player/19985/nacho', 'https://www.hltv.org/player/20185/cass1n', 'https://www.hltv.org/player/20607/buda', 'https://www.hltv.org/player/22570/tomaszin', 'https://www.hltv.org/player/24863/timo']"
InnerCircle,Ukraine,#39,#60,21.5,0,50.0,"{'Ancient': '56.2', 'Anubis': '42.9', 'Dust2': '62.5', 'Inferno': None, 'Mirage': '46.2', 'Nuke': '33.3', 'Overpass': '75.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/8786/jr,"['https://www.hltv.org/player/16147/cptkurtka023', 'https://www.hltv.org/player/19592/headtr1ck', 'https://www.hltv.org/player/23415/zerrofix', 'https://www.hltv.org/player/24168/onic', 'https://www.hltv.org/player/24282/dawy']"
Wildcard,North America,#41,#31,25.2,0,58.6,"{'Ancient': None, 'Anubis': '50.0', 'Dust2': '53.3', 'Inferno': '33.3', 'Mirage': '60.0', 'Nuke': '66.7', 'Overpass': '75.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/15208/splawik,"['https://www.hltv.org/player/8311/nemanha', 'https://www.hltv.org/player/16847/mhl', 'https://www.hltv.org/player/17353/cxzi', 'https://www.hltv.org/player/17378/reck', 'https://www.hltv.org/player/18838/hext']"
GaiminGladiators,Brazil,#43,#42,30.7,0,55.0,"{'Ancient': '62.5', 'Anubis': '0.0', 'Dust2': '46.7', 'Inferno': '60.0', 'Mirage': None, 'Nuke': '33.3', 'Overpass': '100.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/11332/horvy,"['https://www.hltv.org/player/8564/fer', 'https://www.hltv.org/player/8565/hen1', 'https://www.hltv.org/player/9482/nekiz', 'https://www.hltv.org/player/15914/luken', 'https://www.hltv.org/player/17861/jota']"
Sashi,Denmark,#38,#56,24.3,1,59.5,"{'Ancient': '58.3', 'Anubis': '66.7', 'Dust2': '50.0', 'Inferno': '75.0', 'Mirage': '25.0', 'Nuke': '52.9', 'Overpass': '63.6', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7415/hunden,"['https://www.hltv.org/player/10330/acor', 'https://www.hltv.org/player/16723/cabbi', 'https://www.hltv.org/player/20090/zyphon', 'https://www.hltv.org/player/21199/mistr', 'https://www.hltv.org/player/23338/beccie']"
BC.Game,Europe,#45,#95,,0,29.4,"{'Ancient': '0.0', 'Anubis': '0.0', 'Dust2': '20.0', 'Inferno': '0.0', 'Mirage': '0.0', 'Nuke': '57.1', 'Overpass': '60.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/161/taz,"['https://www.hltv.org/player/7998/s1mple', 'https://www.hltv.org/player/8918/electronic', 'https://www.hltv.org/player/20903/senzu', 'https://www.hltv.org/player/23140/krazy']"
magic,Europe,#40,#24,21.6,3,64.3,"{'Ancient': '53.8', 'Anubis': '71.4', 'Dust2': '64.3', 'Inferno': '62.5', 'Mirage': '70.6', 'Nuke': None, 'Overpass': '50.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/22074/eksiver,"['https://www.hltv.org/player/19874/masval', 'https://www.hltv.org/player/22075/sfade8', 'https://www.hltv.org/player/22076/aw', 'https://www.hltv.org/player/23858/mo0n', 'https://www.hltv.org/player/24173/tenzy']"
Tricked,Denmark,#47,#53,22.7,3,57.6,"{'Ancient': '50.0', 'Anubis': '60.0', 'Dust2': None, 'Inferno': '50.0', 'Mirage': '53.3', 'Nuke': '46.7', 'Overpass': '80.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7150/rejin,"['https://www.hltv.org/player/16731/iceberg', 'https://www.hltv.org/player/21379/salazar', 'https://www.hltv.org/player/21571/leakz', 'https://www.hltv.org/player/21574/boye', 'https://www.hltv.org/player/24104/nickyb']"
ShindeN,Argentina,#49,#57,23.1,0,71.8,"{'Ancient': '50.0', 'Anubis': None, 'Dust2': '65.0', 'Inferno': '81.2', 'Mirage': '57.1', 'Nuke': '70.8', 'Overpass': '42.9', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/21226/rugo,"['https://www.hltv.org/player/18554/tom1jed', 'https://www.hltv.org/player/20451/abizz', 'https://www.hltv.org/player/20992/ivz', 'https://www.hltv.org/player/21155/naz', 'https://www.hltv.org/player/24749/guty']"
fnatic,Ukraine,#42,#81,23.4,1,48.3,"{'Ancient': '53.3', 'Anubis': '63.6', 'Dust2': '42.9', 'Inferno': '66.7', 'Mirage': '50.0', 'Nuke': None, 'Overpass': '37.5', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/9363/independent,"['https://www.hltv.org/player/7528/krimz', 'https://www.hltv.org/player/17803/fear', 'https://www.hltv.org/player/23046/jambo', 'https://www.hltv.org/player/23414/jackasmo', 'https://www.hltv.org/player/24914/br4tko']"
Walczaki,Poland,#44,#46,25.3,0,80.0,"{'Ancient': '81.8', 'Anubis': '80.0', 'Dust2': '60.0', 'Inferno': '60.0', 'Mirage': '66.7', 'Nuke': '80.0', 'Overpass': '0.0', 'Train': None, 'Vertigo': None}",,"['https://www.hltv.org/player/15203/reiko', 'https://www.hltv.org/player/20245/samey', 'https://www.hltv.org/player/20958/bajmi', 'https://www.hltv.org/player/21263/olimp', 'https://www.hltv.org/player/22703/moonwalk']"
Voca,United States,#51,#50,25.6,2,67.4,"{'Ancient': '64.3', 'Anubis': '33.3', 'Dust2': '63.6', 'Inferno': '33.3', 'Mirage': '71.4', 'Nuke': '75.0', 'Overpass': '62.5', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/1915/semphis,"['https://www.hltv.org/player/14494/junior', 'https://www.hltv.org/player/14619/infinite', 'https://www.hltv.org/player/17918/nosrac', 'https://www.hltv.org/player/19711/snav', 'https://www.hltv.org/player/20333/jeorge']"
K27,Russia,#53,#43,20.6,0,64.3,"{'Ancient': '58.8', 'Anubis': '66.7', 'Dust2': '56.7', 'Inferno': None, 'Mirage': '73.7', 'Nuke': '63.2', 'Overpass': '23.1', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/8294/balblna,"['https://www.hltv.org/player/19575/x5g7v', 'https://www.hltv.org/player/20101/fame', 'https://www.hltv.org/player/22886/xeedo', 'https://www.hltv.org/player/23686/kashl1d', 'https://www.hltv.org/player/24725/qw1nk1']"
LynnVision,China,#46,#38,22.8,14,83.3,"{'Ancient': '75.0', 'Anubis': '50.0', 'Dust2': '86.7', 'Inferno': '100.0', 'Mirage': None, 'Nuke': '80.0', 'Overpass': '50.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/24028/gum,"['https://www.hltv.org/player/16551/westmelon', 'https://www.hltv.org/player/18744/z4kr', 'https://www.hltv.org/player/20254/starry', 'https://www.hltv.org/player/22922/emiliaqaq', 'https://www.hltv.org/player/23100/c4llm3su3']"
FisherCollege,Europe,#48,#98,24.3,0,66.7,"{'Ancient': '57.9', 'Anubis': '100.0', 'Dust2': None, 'Inferno': '46.2', 'Mirage': '64.3', 'Nuke': '72.2', 'Overpass': '55.6', 'Train': None, 'Vertigo': None}",,"['https://www.hltv.org/player/12793/th0r', 'https://www.hltv.org/player/13298/aleks', 'https://www.hltv.org/player/19602/refuzr', 'https://www.hltv.org/player/20429/crepow', 'https://www.hltv.org/player/22137/corn']"
Nemesis,Russia,#55,#33,21.2,0,70.0,"{'Ancient': '68.0', 'Anubis': None, 'Dust2': '54.5', 'Inferno': '66.7', 'Mirage': '66.7', 'Nuke': '68.0', 'Overpass': '77.8', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/20200/nmv,"['https://www.hltv.org/player/18670/sellter', 'https://www.hltv.org/player/20709/r3salt', 'https://www.hltv.org/player/22536/mag1k3y', 'https://www.hltv.org/player/22930/tex1y', 'https://www.hltv.org/player/23047/sdaim']"
FlyQuest,Australia,#57,#70,25.3,0,58.8,"{'Ancient': '33.3', 'Anubis': '90.0', 'Dust2': '70.0', 'Inferno': '50.0', 'Mirage': '60.0', 'Nuke': '33.3', 'Overpass': '0.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/8082/azr,"['https://www.hltv.org/player/4679/jks', 'https://www.hltv.org/player/11140/ins', 'https://www.hltv.org/player/17384/vexite', 'https://www.hltv.org/player/18214/nettik', 'https://www.hltv.org/player/20462/story']"
Sharks,Brazil,#50,#40,23.1,3,73.9,"{'Ancient': '44.4', 'Anubis': '100.0', 'Dust2': None, 'Inferno': '66.7', 'Mirage': '55.6', 'Nuke': '87.5', 'Overpass': '42.9', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/628/coachi,"['https://www.hltv.org/player/20558/gafolo', 'https://www.hltv.org/player/21170/koala', 'https://www.hltv.org/player/21221/maxxkor', 'https://www.hltv.org/player/21921/rdnzao', 'https://www.hltv.org/player/22911/doc']"
Imperial,Brazil,#52,#66,23.9,0,63.9,"{'Ancient': None, 'Anubis': '71.4', 'Dust2': '63.6', 'Inferno': '50.0', 'Mirage': '50.0', 'Nuke': '64.3', 'Overpass': '66.7', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7384/zakk,"['https://www.hltv.org/player/10566/chelo', 'https://www.hltv.org/player/12822/vini', 'https://www.hltv.org/player/20183/decenty', 'https://www.hltv.org/player/22371/levi', 'https://www.hltv.org/player/22564/noway']"
100Thieves,Europe,#59,#45,24.9,0,67.6,"{'Ancient': '63.2', 'Anubis': '40.0', 'Dust2': '60.0', 'Inferno': '71.4', 'Mirage': '57.1', 'Nuke': '62.5', 'Overpass': '66.7', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7412/gla1ve,"['https://www.hltv.org/player/7592/device', 'https://www.hltv.org/player/8183/rain', 'https://www.hltv.org/player/21014/ag1l', 'https://www.hltv.org/player/22695/sirah', 'https://www.hltv.org/player/23397/poiii']"
Lavked,Russia,#61,#79,22.5,4,66.0,"{'Ancient': '82.4', 'Anubis': '0.0', 'Dust2': '50.0', 'Inferno': '22.2', 'Mirage': '74.2', 'Nuke': '68.8', 'Overpass': '40.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/24476/l1nkero,"['https://www.hltv.org/player/20199/sol', 'https://www.hltv.org/player/21369/1nvisiblee', 'https://www.hltv.org/player/24114/xm1nd', 'https://www.hltv.org/player/24171/djon8', 'https://www.hltv.org/player/24818/k4nfuz']"
LazerCats,Ukraine,#63,#133,,0,44.0,"{'Ancient': '80.0', 'Anubis': '25.0', 'Dust2': '23.1', 'Inferno': '33.3', 'Mirage': '37.5', 'Nuke': '25.0', 'Overpass': None, 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/24085/monarrrh,"['https://www.hltv.org/player/22706/yab0ku', 'https://www.hltv.org/player/23151/nikitea', 'https://www.hltv.org/player/23589/magic', 'https://www.hltv.org/player/24204/kiy0o']"
LP,Brazil,#65,#99,23.9,4,56.8,"{'Ancient': '66.7', 'Anubis': None, 'Dust2': '59.1', 'Inferno': '66.7', 'Mirage': '28.6', 'Nuke': '68.8', 'Overpass': '60.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/17552/disturbed,"['https://www.hltv.org/player/14010/zmb', 'https://www.hltv.org/player/17132/leomonster', 'https://www.hltv.org/player/20521/alisson', 'https://www.hltv.org/player/21284/happ', 'https://www.hltv.org/player/23550/divine']"
INFINITE,Europe,#54,#51,25.0,9,71.4,"{'Ancient': '83.3', 'Anubis': '100.0', 'Dust2': '71.4', 'Inferno': '60.0', 'Mirage': '75.0', 'Nuke': '50.0', 'Overpass': '100.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/20068/tionix,"['https://www.hltv.org/player/9911/kreaz', 'https://www.hltv.org/player/12945/blytz', 'https://www.hltv.org/player/19171/mhn1', 'https://www.hltv.org/player/19815/dytor', 'https://www.hltv.org/player/20870/sl3nd']"
