team_won,team_lost,stars_of_tournament,shape,event_name,score,time,team1,team2,target
BIG,BESTIA,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,BIG,BESTIA,1
M80,Aurora,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 24th 2024,Aurora,M80,0
Sashi,ECLOT,0,bo3,Winline Insight Season 6,2 - 1,Results for October 24th 2024,Sashi,ECLOT,1
HOTU,UNiTY,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 24th 2024,UNiTY,HOTU,0
BESTIA,M80,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 24th 2024,M80,BESTIA,0
Endpoint,NewBALLS,0,bo3,Winline Insight Season 6,2 - 1,Results for October 24th 2024,Endpoint,NewBALLS,1
GUN5,Insilio,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 0,Results for October 24th 2024,GUN5,Insilio,1
L&G,WOPA,0,bo3,United21 League Season 21,2 - 0,Results for October 24th 2024,L&G,WOPA,1
Aurora Young Blud,kONO,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 24th 2024,kONO,Aurora Young Blud,0
BIG,Aurora,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,BIG,Aurora,1
ECLOT,ALTERNATE aTTaX,0,bo3,YaLLa Compass Fall 2024 Contenders,0 - 2,Results for October 24th 2024,ALTERNATE aTTaX,ECLOT,0
GenOne,Heimo,0,bo3,United21 League Season 21,0 - 2,Results for October 24th 2024,Heimo,GenOne,0
HEROIC,Ninjas in Pyjamas,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,HEROIC,Ninjas in Pyjamas,1
Imperial,Legacy,0,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 23rd 2024,Legacy,Imperial,0
Ninjas in Pyjamas,Imperial,0,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 23rd 2024,Imperial,Ninjas in Pyjamas,0
NAVI Junior,WOPA,0,bo3,United21 League Season 21,2 - 0,Results for October 23rd 2024,NAVI Junior,WOPA,1
DRILLAS,GenOne,0,bo3,United21 League Season 21,1 - 2,Results for October 23rd 2024,GenOne,DRILLAS,0
Gaimin Gladiators,ECLOT,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 0,Results for October 23rd 2024,Gaimin Gladiators,ECLOT,1
HEROIC,Legacy,1,bo3,Thunderpick World Championship 2024,2 - 1,Results for October 23rd 2024,HEROIC,Legacy,1
Aurora Young Blud,NAVI Junior,0,bo3,European Pro League 2nd Division Season 16,2 - 1,Results for October 23rd 2024,Aurora Young Blud,NAVI Junior,1
ALTERNATE aTTaX,Preasy,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 0,Results for October 23rd 2024,ALTERNATE aTTaX,Preasy,1
The MongolZ,fnatic,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 22nd 2024,The MongolZ,fnatic,1
Cloud9,9z,0,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 22nd 2024,Cloud9,9z,1
GUN5,WW,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 1,Results for October 22nd 2024,GUN5,WW,1
fnatic,9z,0,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 22nd 2024,9z,fnatic,0
L&G,Anonymo,0,bo3,United21 League Season 21,1 - 2,Results for October 22nd 2024,Anonymo,L&G,0
kONO,NAVI Junior,0,bo3,European Pro League 2nd Division Season 16,2 - 0,Results for October 22nd 2024,kONO,NAVI Junior,1
Insilio,Monte Gen,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 1,Results for October 22nd 2024,Insilio,Monte Gen,1
The MongolZ,Cloud9,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 22nd 2024,The MongolZ,Cloud9,1
Aurora Young Blud,CPH Wolves,0,bo3,European Pro League 2nd Division Season 16,2 - 0,Results for October 22nd 2024,Aurora Young Blud,CPH Wolves,1
Heimo,Verdant,0,bo3,United21 League Season 21,2 - 0,Results for October 22nd 2024,Heimo,Verdant,1
3DMAX,OG,0,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 22nd 2024,3DMAX,OG,1
Virtus.pro,Falcons,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 21st 2024,Falcons,Virtus.pro,0
DRILLAS,L&G,0,bo3,United21 League Season 21,2 - 0,Results for October 21st 2024,DRILLAS,L&G,1
OG,Virtus.pro,1,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 21st 2024,Virtus.pro,OG,0
Johnny Speeds,UNiTY,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 1,Results for October 21st 2024,Johnny Speeds,UNiTY,1
GenOne,Anonymo,0,bo3,United21 League Season 21,0 - 2,Results for October 21st 2024,Anonymo,GenOne,0
CPH Wolves,Viperio,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 21st 2024,Viperio,CPH Wolves,0
9INE,HOTU,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 1,Results for October 21st 2024,9INE,HOTU,1
3DMAX,Falcons,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 21st 2024,Falcons,3DMAX,0
Aurora Young Blud,Illuminar,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 21st 2024,Illuminar,Aurora Young Blud,0
Fisher Tsunami,timbermen,0,bo3,Fragadelphia Tap Cup 2,1 - 2,Results for October 21st 2024,timbermen,Fisher Tsunami,0
M80,NRG,1,bo5,ESL Challenger League Season 48 North America,3 - 1,Results for October 21st 2024,M80,NRG,1
paiN,MIBR,2,bo5,ESL Challenger League Season 48 South America,3 - 1,Results for October 21st 2024,paiN,MIBR,1
Fisher Tsunami,Slugy's Shekel Squad,0,bo3,Fragadelphia Tap Cup 2,2 - 1,Results for October 21st 2024,Fisher Tsunami,Slugy's Shekel Squad,1
ENCE,HEROIC,1,bo5,Elisa Masters Espoo 2024,3 - 1,Results for October 20th 2024,ENCE,HEROIC,1
NAVI Javelins,Let Her Cook,0,bo3,ESL Impact League Season 6 Europe,0 - 2,Results for October 20th 2024,Let Her Cook,NAVI Javelins,0
HyperSpirit,Blockbusters,0,bo3,jaxi League Showdown 2024,1 - 2,Results for October 20th 2024,Blockbusters,HyperSpirit,0
timbermen,MIGHT,0,bo3,Fragadelphia Tap Cup 2,0 - 2,Results for October 20th 2024,MIGHT,timbermen,0
Into the Breach,Johnny Speeds,0,bo3,A1 Gaming League Season 9,1 - 2,Results for October 20th 2024,Johnny Speeds,Into the Breach,0
Metizport X,Nordix,0,bo3,Good Game League Fall 2024,1 - 2,Results for October 20th 2024,Nordix,Metizport X,0
DMS,Endpoint,0,bo3,Winline Insight Season 6,1 - 2,Results for October 20th 2024,Endpoint,DMS,0
Alliance,Venom,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 1,Results for October 20th 2024,Alliance,Venom,1
Sangal,Nemiga,0,bo5,ESL Challenger League Season 48 Europe,3 - 0,Results for October 20th 2024,Sangal,Nemiga,1
Nexus,suxeN,0,bo3,jaxi League Showdown 2024,2 - 0,Results for October 20th 2024,Nexus,suxeN,1
FAVBET,Gaimin Gladiators,0,bo3,A1 Gaming League Season 9,0 - 2,Results for October 20th 2024,Gaimin Gladiators,FAVBET,0
NAVI Junior,Aurora Young Blud,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 20th 2024,Aurora Young Blud,NAVI Junior,0
Metizport X,Vanir,0,bo3,Good Game League Fall 2024,0 - 2,Results for October 20th 2024,Vanir,Metizport X,0
WOPA,Verdant,0,bo3,United21 League Season 21,1 - 2,Results for October 20th 2024,Verdant,WOPA,0
500,ECSTATIC,0,bo3,A1 Gaming League Season 9,2 - 1,Results for October 20th 2024,500,ECSTATIC,1
JANO,ENCE Academy,0,bo3,Elisa Open Finland Season 7 Finals,0 - 2,Results for October 20th 2024,ENCE Academy,JANO,0
ECLOT,9 Pandas,0,bo3,Winline Insight Season 6,0 - 2,Results for October 20th 2024,9 Pandas,ECLOT,0
Gods Reign,True Rippers,0,bo5,eXTREMESLAND 2024 India Open 2024 Finals,3 - 1,Results for October 20th 2024,Gods Reign,True Rippers,1
kONO,CPH Wolves,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 20th 2024,CPH Wolves,kONO,0
NAVI Junior,Heimo,0,bo3,United21 League Season 21,2 - 0,Results for October 20th 2024,NAVI Junior,Heimo,1
FlyQuest,Mindfreak,0,bo5,ESL Challenger League Season 48 Oceania,3 - 0,Results for October 20th 2024,FlyQuest,Mindfreak,1
Slugy's Shekel Squad,Derpy Kids,0,bo3,Fragadelphia Tap Cup 2,2 - 0,Results for October 20th 2024,Slugy's Shekel Squad,Derpy Kids,1
timbermen,MCS,0,bo3,Fragadelphia Tap Cup 2,2 - 0,Results for October 20th 2024,timbermen,MCS,1
NRG,Legacy,0,bo3,ESL Challenger League Season 48 North America,1 - 2,Results for October 20th 2024,Legacy,NRG,0
Fisher Tsunami,Penance,0,bo3,Fragadelphia Tap Cup 2,1 - 2,Results for October 20th 2024,Penance,Fisher Tsunami,0
MIGHT,Amped,0,bo3,Fragadelphia Tap Cup 2,2 - 0,Results for October 20th 2024,MIGHT,Amped,1
MIBR,BESTIA,1,bo3,ESL Challenger League Season 48 South America,2 - 1,Results for October 20th 2024,MIBR,BESTIA,1
Nemiga,UNPAID,0,bo3,RES Regional Champions 2024,2 - 1,Results for October 20th 2024,Nemiga,UNPAID,1
HEROIC,B8,1,bo3,Elisa Masters Espoo 2024,0 - 2,Results for October 19th 2024,B8,HEROIC,0
dream catchers fe,NAVI Javelins,0,bo3,ESL Impact League Season 6 Europe,0 - 2,Results for October 19th 2024,NAVI Javelins,dream catchers fe,0
Nemiga,3DMAX,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 19th 2024,Nemiga,3DMAX,1
INFURITY,Nordix,0,bo3,Good Game League Fall 2024,2 - 0,Results for October 19th 2024,INFURITY,Nordix,1
Nexus,Permitta,0,bo3,A1 Gaming League Season 9,2 - 0,Results for October 19th 2024,Nexus,Permitta,1
Gaimin Gladiators,9INE,0,bo3,Winline Insight Season 6,2 - 1,Results for October 19th 2024,Gaimin Gladiators,9INE,1
ENCE,The MongolZ,1,bo3,Elisa Masters Espoo 2024,1 - 2,Results for October 19th 2024,The MongolZ,ENCE,0
Venom,Pikejagarna,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 0,Results for October 19th 2024,Venom,Pikejagarna,1
BIG EQUIPA,Let Her Cook,0,bo3,ESL Impact League Season 6 Europe,2 - 0,Results for October 19th 2024,BIG EQUIPA,Let Her Cook,1
UNPAID,Sangal,0,bo3,RES Regional Champions 2024,1 - 2,Results for October 19th 2024,Sangal,UNPAID,0
NAVI Junior,CYBERSHOKE,0,bo3,A1 Gaming League Season 9,2 - 0,Results for October 19th 2024,NAVI Junior,CYBERSHOKE,1
Nordix,Metizport X,0,bo3,Good Game League Fall 2024,1 - 2,Results for October 19th 2024,Metizport X,Nordix,0
INFURITY,Vanir,0,bo3,Good Game League Fall 2024,2 - 1,Results for October 19th 2024,INFURITY,Vanir,1
Viperio,ADEPTS,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 19th 2024,ADEPTS,Viperio,0
RUSH B,Rhyno,0,bo3,A1 Gaming League Season 9,2 - 1,Results for October 19th 2024,RUSH B,Rhyno,1
Sashi,Space,0,bo3,Winline Insight Season 6,2 - 0,Results for October 19th 2024,Sashi,Space,1
Nemiga,fnatic,0,bo3,RES Regional Champions 2024,0 - 2,Results for October 19th 2024,fnatic,Nemiga,0
Illuminar,L&G,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 19th 2024,L&G,Illuminar,0
Mindfreak,Housebets,0,bo3,ESL Challenger League Season 48 Oceania,2 - 0,Results for October 19th 2024,Mindfreak,Housebets,1
NRG,Party Astronauts,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 19th 2024,NRG,Party Astronauts,1
TSM Impact,FLUFFY MAFIA,0,bo3,ESL Impact League Season 6 North America,2 - 1,Results for October 19th 2024,TSM Impact,FLUFFY MAFIA,1
Nouns fe,Blue Otter Karma,0,bo3,ESL Impact League Season 6 North America,0 - 2,Results for October 19th 2024,Blue Otter Karma,Nouns fe,0
FlyQuest RED,Aware fe,0,bo3,ESL Impact League Season 6 North America,2 - 0,Results for October 19th 2024,FlyQuest RED,Aware fe,1
Imp Pact fe,Lotus fe,0,bo3,ESL Impact League Season 6 North America,0 - 2,Results for October 19th 2024,Lotus fe,Imp Pact fe,0
BESTIA,RED Canids,0,bo3,ESL Challenger League Season 48 South America,2 - 0,Results for October 19th 2024,BESTIA,RED Canids,1
FURIA fe,Fluxo Demons,0,bo3,ESL Impact League Season 6 South America,1 - 2,Results for October 19th 2024,Fluxo Demons,FURIA fe,0
Atrix,thekillaz fe,0,bo3,ESL Impact League Season 6 South America,2 - 0,Results for October 19th 2024,Atrix,thekillaz fe,1
MIBR fe,inSanitY fe,0,bo3,ESL Impact League Season 6 South America,2 - 0,Results for October 19th 2024,MIBR fe,inSanitY fe,1
PEAK fe,CAPIVARAS,0,bo3,ESL Impact League Season 6 South America,0 - 2,Results for October 19th 2024,CAPIVARAS,PEAK fe,0
HSG fe,BIG EQUIPA,0,bo3,ESL Impact League Season 6 Europe,1 - 2,Results for October 18th 2024,BIG EQUIPA,HSG fe,0
3DMAX,SAW,1,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 18th 2024,3DMAX,SAW,1
Let Her Cook,NIP Impact,0,bo3,ESL Impact League Season 6 Europe,2 - 1,Results for October 18th 2024,Let Her Cook,NIP Impact,1
dream catchers fe,Permitta W,0,bo3,ESL Impact League Season 6 Europe,2 - 0,Results for October 18th 2024,dream catchers fe,Permitta W,1
Spirit fe,ENCE Athena,0,bo3,ESL Impact League Season 6 Europe,2 - 0,Results for October 18th 2024,Spirit fe,ENCE Athena,1
NAVI Javelins,Astralis W,0,bo3,ESL Impact League Season 6 Europe,2 - 0,Results for October 18th 2024,NAVI Javelins,Astralis W,1
Imperial fe,Crescent fe,0,bo3,ESL Impact League Season 6 Europe,2 - 0,Results for October 18th 2024,Imperial fe,Crescent fe,1
ENCE,9z,0,bo3,Elisa Masters Espoo 2024,2 - 0,Results for October 18th 2024,ENCE,9z,1
UNPAID,PARIVISION,0,bo3,RES Regional Champions 2024,2 - 0,Results for October 18th 2024,UNPAID,PARIVISION,1
CPH Wolves,Aurora Young Blud,0,bo3,Winline Insight Season 6,0 - 2,Results for October 18th 2024,Aurora Young Blud,CPH Wolves,0
B8,JANO,0,bo3,Elisa Masters Espoo 2024,2 - 0,Results for October 18th 2024,B8,JANO,1
Bromo,IHC,0,bo3,ESL Challenger League Season 48 Asia-Pacific,2 - 0,Results for October 18th 2024,Bromo,IHC,1
Nemiga,Fluxo,0,bo3,RES Regional Champions 2024,2 - 1,Results for October 18th 2024,Nemiga,Fluxo,1
NAVI Junior,Viperio,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 18th 2024,Viperio,NAVI Junior,0
NewBALLS,Apogee,0,bo3,Winline Insight Season 6,0 - 2,Results for October 18th 2024,Apogee,NewBALLS,0
Aurora Young Blud,ADEPTS,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 18th 2024,ADEPTS,Aurora Young Blud,0
Housebets,The Art of War,0,bo3,ESL Challenger League Season 48 Oceania,2 - 0,Results for October 18th 2024,Housebets,The Art of War,1
FlyQuest,Mindfreak,0,bo3,ESL Challenger League Season 48 Oceania,2 - 0,Results for October 18th 2024,FlyQuest,Mindfreak,1
IHC,ATOX,0,bo5,MESA Pro Series Fall 2024 Finals,3 - 0,Results for October 18th 2024,IHC,ATOX,1
Party Astronauts,Nouns,0,bo3,ESL Challenger League Season 48 North America,1 - 2,Results for October 18th 2024,Nouns,Party Astronauts,0
M80,Legacy,1,bo3,ESL Challenger League Season 48 North America,1 - 2,Results for October 18th 2024,Legacy,M80,0
NRG,Wildcard,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 18th 2024,NRG,Wildcard,1
RED Canids,Imperial,1,bo3,ESL Challenger League Season 48 South America,1 - 2,Results for October 18th 2024,Imperial,RED Canids,0
paiN,MIBR,2,bo3,ESL Challenger League Season 48 South America,2 - 1,Results for October 18th 2024,paiN,MIBR,1
BESTIA,inSanitY,0,bo3,ESL Challenger League Season 48 South America,2 - 0,Results for October 18th 2024,BESTIA,inSanitY,1
SAW,9 Pandas,1,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 17th 2024,SAW,9 Pandas,1
3DMAX,Sashi,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 17th 2024,3DMAX,Sashi,1
Sangal,Nemiga,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 17th 2024,Sangal,Nemiga,1
fnatic,PARIVISION,0,bo3,RES Regional Champions 2024,1 - 2,Results for October 17th 2024,PARIVISION,fnatic,0
9z,Rebels,0,bo3,Elisa Masters Espoo 2024,0 - 2,Results for October 17th 2024,Rebels,9z,0
Pikejagarna,Lemondogs,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 0,Results for October 17th 2024,Pikejagarna,Lemondogs,1
Preasy,FAVBET,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 17th 2024,FAVBET,Preasy,0
HEROIC,ENCE,1,bo3,Elisa Masters Espoo 2024,2 - 0,Results for October 17th 2024,HEROIC,ENCE,1
Fire Flux,ARCRED,0,bo3,Winline Insight Season 6,0 - 2,Results for October 17th 2024,ARCRED,Fire Flux,0
UNPAID,Solid,0,bo3,RES Regional Champions 2024,0 - 2,Results for October 17th 2024,Solid,UNPAID,0
Lynn Vision,The Huns,0,bo3,ESL Challenger League Season 48 Asia-Pacific,1 - 2,Results for October 17th 2024,The Huns,Lynn Vision,0
Permitta,ECLOT,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 17th 2024,ECLOT,Permitta,0
kONO,Illuminar,0,bo3,European Pro League 2nd Division Season 16,0 - 2,Results for October 17th 2024,Illuminar,kONO,0
Sangal,Fluxo,0,bo3,RES Regional Champions 2024,0 - 2,Results for October 17th 2024,Fluxo,Sangal,0
HOTU,TSM,0,bo3,Winline Insight Season 6,0 - 2,Results for October 17th 2024,TSM,HOTU,0
ENCE,9z,0,anc,Elisa Masters Espoo 2024,6 - 13,Results for October 17th 2024,9z,ENCE,0
CPH Wolves,L&G,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 17th 2024,L&G,CPH Wolves,0
Nemiga,Aurora,0,bo3,RES Regional Champions 2024,1 - 2,Results for October 17th 2024,Aurora,Nemiga,0
HEROIC,Rebels,1,anb,Elisa Masters Espoo 2024,13 - 10,Results for October 17th 2024,HEROIC,Rebels,1
Mindfreak,The Art of War,0,bo3,ESL Challenger League Season 48 Oceania,2 - 1,Results for October 17th 2024,Mindfreak,The Art of War,1
9INE,Insilio,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 17th 2024,Insilio,9INE,0
ATOX,Clutch,0,bo3,MESA Pro Series Fall 2024 Finals,0 - 2,Results for October 17th 2024,Clutch,ATOX,0
Housebets,KZG,0,bo3,ESL Challenger League Season 48 Oceania,2 - 0,Results for October 17th 2024,Housebets,KZG,1
Legacy,Nouns,0,bo3,ESL Challenger League Season 48 North America,2 - 1,Results for October 17th 2024,Legacy,Nouns,1
Party Astronauts,E-Xolos LAZER,0,bo3,ESL Challenger League Season 48 North America,2 - 1,Results for October 17th 2024,Party Astronauts,E-Xolos LAZER,1
Wildcard,BOSS,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 17th 2024,Wildcard,BOSS,1
M80,NRG,1,bo3,ESL Challenger League Season 48 North America,2 - 1,Results for October 17th 2024,M80,NRG,1
MIBR,RED Canids,1,bo3,ESL Challenger League Season 48 South America,2 - 1,Results for October 17th 2024,MIBR,RED Canids,1
paiN,inSanitY,1,bo3,ESL Challenger League Season 48 South America,2 - 1,Results for October 17th 2024,paiN,inSanitY,1
Imperial,Sharks,0,bo3,ESL Challenger League Season 48 South America,2 - 0,Results for October 17th 2024,Imperial,Sharks,1
BESTIA,ODDIK,0,bo3,ESL Challenger League Season 48 South America,2 - 0,Results for October 17th 2024,BESTIA,ODDIK,1
Sashi,PARIVISION,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 17th 2024,Sashi,PARIVISION,1
JANO,Ninjas in Pyjamas,0,bo3,Elisa Masters Espoo 2024,2 - 1,Results for October 16th 2024,JANO,Ninjas in Pyjamas,1
9 Pandas,TSM,0,bo3,ESL Challenger League Season 48 Europe,1 - 2,Results for October 16th 2024,TSM,9 Pandas,0
Sangal,SAW,1,bo3,ESL Challenger League Season 48 Europe,1 - 2,Results for October 16th 2024,SAW,Sangal,0
Nemiga,3DMAX,0,bo3,ESL Challenger League Season 48 Europe,2 - 0,Results for October 16th 2024,Nemiga,3DMAX,1
fnatic,UNPAID,0,bo3,RES Regional Champions 2024,2 - 0,Results for October 16th 2024,fnatic,UNPAID,1
Alliance,Venom,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 0,Results for October 16th 2024,Alliance,Venom,1
PARIVISION,Solid,0,bo3,RES Regional Champions 2024,0 - 2,Results for October 16th 2024,Solid,PARIVISION,0
ATOX,Lynn Vision,0,bo3,ESL Challenger League Season 48 Asia-Pacific,1 - 2,Results for October 16th 2024,Lynn Vision,ATOX,0
The MongolZ,B8,1,bo3,Elisa Masters Espoo 2024,2 - 0,Results for October 16th 2024,The MongolZ,B8,1
IHC,GR,0,bo3,ESL Challenger League Season 48 Asia-Pacific,2 - 1,Results for October 16th 2024,IHC,GR,1
Sangal,Nemiga,0,bo3,RES Regional Champions 2024,2 - 1,Results for October 16th 2024,Sangal,Nemiga,1
The Huns,SGGT,0,bo3,ESL Challenger League Season 48 Asia-Pacific,1 - 2,Results for October 16th 2024,SGGT,The Huns,0
TYLOO,Bromo,0,bo3,ESL Challenger League Season 48 Asia-Pacific,2 - 0,Results for October 16th 2024,TYLOO,Bromo,1
B8,Ninjas in Pyjamas,0,mrg,Elisa Masters Espoo 2024,14 - 16,Results for October 16th 2024,Ninjas in Pyjamas,B8,0
Johnny Speeds,WW,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 0,Results for October 16th 2024,Johnny Speeds,WW,1
IHC,ATOX,0,bo3,MESA Pro Series Fall 2024 Finals,0 - 2,Results for October 16th 2024,ATOX,IHC,0
The MongolZ,JANO,1,inf,Elisa Masters Espoo 2024,13 - 7,Results for October 16th 2024,The MongolZ,JANO,1
Fluxo,Aurora,0,bo3,RES Regional Champions 2024,2 - 1,Results for October 16th 2024,Fluxo,Aurora,1
Monte Gen,CYBERSHOKE,0,bo3,YaLLa Compass Fall 2024 Contenders,0 - 2,Results for October 16th 2024,CYBERSHOKE,Monte Gen,0
Clutch,The QUBE,0,bo3,MESA Pro Series Fall 2024 Finals,0 - 2,Results for October 16th 2024,The QUBE,Clutch,0
Nouns,Wildcard,0,bo3,ESL Challenger League Season 48 North America,2 - 1,Results for October 16th 2024,Nouns,Wildcard,1
NRG,Party Astronauts,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 16th 2024,NRG,Party Astronauts,1
BOSS,FLUFFY AIMERS,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 16th 2024,BOSS,FLUFFY AIMERS,1
E-Xolos LAZER,timbermen,0,bo3,ESL Challenger League Season 48 North America,2 - 0,Results for October 16th 2024,E-Xolos LAZER,timbermen,1
RED Canids,BESTIA,0,bo3,ESL Challenger League Season 48 South America,0 - 2,Results for October 16th 2024,BESTIA,RED Canids,0
ODDIK,KRÜ,0,bo3,ESL Challenger League Season 48 South America,2 - 0,Results for October 16th 2024,ODDIK,KRÜ,1
inSanitY,Imperial,0,bo3,ESL Challenger League Season 48 South America,0 - 2,Results for October 16th 2024,Imperial,inSanitY,0
Sharks,Case,0,def,ESL Challenger League Season 48 South America,1 - 0,Results for October 16th 2024,Sharks,Case,1
9 Pandas,Zero Tenacity,0,bo3,ESL Challenger League Season 48 Europe,1 - 2,Results for October 15th 2024,Zero Tenacity,9 Pandas,0
3DMAX,TSM,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for October 15th 2024,3DMAX,TSM,1
Venom,Lemondogs,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 1,Results for October 15th 2024,Venom,Lemondogs,1
PARIVISION,Aurora,0,bo3,ESL Challenger League Season 48 Europe,0 - 2,Results for October 15th 2024,Aurora,PARIVISION,0
Sangal,Sashi,0,bo3,ESL Challenger League Season 48 Europe,2 - 0,Results for October 15th 2024,Sangal,Sashi,1
Bromo,The Huns,0,bo3,ESL Challenger League Season 48 Asia-Pacific,1 - 2,Results for October 15th 2024,The Huns,Bromo,0
SGGT,Gods Reign,0,bo3,ESL Challenger League Season 48 Asia-Pacific,2 - 1,Results for October 15th 2024,SGGT,Gods Reign,1
ATOX,IHC,0,bo3,ESL Challenger League Season 48 Asia-Pacific,0 - 2,Results for October 15th 2024,IHC,ATOX,0
GR,-72c,0,bo3,ESL Challenger League Season 48 Asia-Pacific,2 - 1,Results for October 15th 2024,GR,-72c,1
HOTU,ALTERNATE aTTaX,0,bo3,YaLLa Compass Fall 2024 Contenders,0 - 2,Results for October 15th 2024,ALTERNATE aTTaX,HOTU,0
IHC,Clutch,0,bo3,MESA Pro Series Fall 2024 Finals,0 - 2,Results for October 15th 2024,Clutch,IHC,0
Gaimin Gladiators,GUN5,0,bo3,YaLLa Compass Fall 2024 Contenders,0 - 2,Results for October 15th 2024,GUN5,Gaimin Gladiators,0
ATOX,The QUBE,0,bo3,MESA Pro Series Fall 2024 Finals,2 - 0,Results for October 15th 2024,ATOX,The QUBE,1
Alliance,Pikejagarna,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 0,Results for October 14th 2024,Alliance,Pikejagarna,1
ECLOT,Apogee,0,bo3,Winline Insight Season 6,2 - 1,Results for October 14th 2024,ECLOT,Apogee,1
500,UNiTY,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 14th 2024,UNiTY,500,0
Fisher College,FLUFFY AIMERS,0,bo3,Hol1day Cash Cup 1,2 - 1,Results for October 14th 2024,Fisher College,FLUFFY AIMERS,1
FLUFFY AIMERS,InControl,0,bo3,Hol1day Cash Cup 1,1 - 2,Results for October 14th 2024,InControl,FLUFFY AIMERS,0
Natus Vincere,MOUZ,4,bo5,IEM Rio 2024,3 - 1,Results for October 14th 2024,Natus Vincere,MOUZ,1
Passion UA,Mission Possible,0,bo3,RTV Euro AGD Game Zone Masters 2024 Closed Qualifier,1 - 2,Results for October 13th 2024,Mission Possible,Passion UA,0
Kappa Bar,megoshort,0,bo3,Svenska Cupen 2024 Closed Qualifier,2 - 1,Results for October 13th 2024,Kappa Bar,megoshort,1
Spirit Academy,FAVBET,0,bo3,CCT Season 2 Europe Series 14,2 - 1,Results for October 13th 2024,Spirit Academy,FAVBET,1
Insilio,Johnny Speeds,0,bo3,A1 Gaming League Season 9,2 - 1,Results for October 13th 2024,Insilio,Johnny Speeds,1
9INE,CPH Wolves,0,bo3,Winline Insight Season 6,2 - 1,Results for October 13th 2024,9INE,CPH Wolves,1
Passion UA,ex-Enterprise,0,bo3,RTV Euro AGD Game Zone Masters 2024 Closed Qualifier,0 - 2,Results for October 13th 2024,ex-Enterprise,Passion UA,0
FAVBET,Aurora,0,bo3,CCT Season 2 Europe Series 14,2 - 1,Results for October 13th 2024,FAVBET,Aurora,1
Legacy,Prodigy,0,cbl,Showmatch CS,13 - 11,Results for October 13th 2024,Legacy,Prodigy,1
